], 49999,   7,fff5,fff3,8cfb,afd2,6f24,  25,  13, 4d4,d4c2,ed68,c695, 70b
[,   f,fffb,fffd,44b3,e2ea,bbbc,  23,  13, 4e6,37ac,311a,1a03
[,  14,fff8,ffea,c701, 7d3,ebff,  22,  14, 4e1,7fdb,c1b0,b32c
[,   3,ffff,fffa,1a87,a16b,757e,  22,   d, 4df,afb9,6385,48d2
[,   b,   3,   2,7209,c2a7,88a4,  22,  15, 4e0,442b,e55f,e995
[,fffb,   1,   8,9554,f609,29ce,  21,  16, 4dc,a9fc,72c7,5b27
[,   f,fffd,fff9,520c,4276,e984,  1a,  1b, 4c5,d21f,5f96,ba97
[,   1,ffef,fffa,f07a,9619,92cb,  27,  17, 4b3, 6aa,fa10,4725
[,   a,fffe,   5,642f,1406,450f,  29,  17, 4d8,4eec,27e4,46d7
[,  10,   2,   8,c489,9d31,9156,  23,  16, 4fb,e8df, 859,701e
], 50031,  15,fffb,fffc,93bc,c5d3,b3b2,  22,  17, 4ea,ba0c, 10d,c1e8, 70b
[,   3,   2,   5,7723,b6cb,efcc,  28,  16, 4dc,b773,6792,387b
[,   2,   5,fff5,c0c6,3d42,cfdf,  27,   d, 4e7,3cc8,cd66,1c30
[,ffff,ffff,fffd,ab11,25e5,d50c,  24,  12, 4d9,229d,fb7b, 9cd
[,fffd,   b,   9,5baf, bf0,9be1,  28,  13, 4cc,4c48,acf3,2709
[,fffe,   1,fffb,10fd,71e5,64ca,  26,  12, 4d3,bc38,5e5d,26f1
[,   3,   7,fff9,f020,5925,faaf,  26,   d, 4e5,a54d,4a22,937d
[,fff7,fff8,fffa,ebc1,e4cf,a388,  24,  14, 4e8,fb89, bd0,849a
[,fff5,fff9,   7,1b95,16d5,6e13,  27,  12, 4df,5468,8f46,4617
[,   0,   3,   6,6459,d0c0,5c13,  25,  12, 4d0,c589,ac35,ee13
], 49968,fffc,   6,   9,cb93,466f,1d9c,  25,   f, 4cd,3885,2e93,a618, 70b
[,ffff,fffe,fff8,f4c1,3590,a4e6,  29,  10, 4c7,a7bd,78bd,eb3f
[,   e,fffe,fff3,6ff2,c3cb,a3d3,  2a,   c, 4db, b5f,f9b0,1a81
[,   7,   0,fff5,d096,f7d8,84ec,  24,   a, 4de,c686,90ab,fd6e
[,   d,ffed,   1,5a0c,5af1,6d47,  21,   7, 4e4,c2af,893e,7765
[,   4,   1,fff4,8371,b0f4,e42d,  23,   e, 4e4,5479,d25f,ef21
[,   3,fff4,fff2, e78,d92f,ac1d,  24,   d, 4e4,d82c,a690,ee4e
[,   3,   c,fff5,9dc2,f47e,34f2,  27,   e, 4e3,41a9,883b,39ec
[,   c,fffd,fffd,5f17,77df,91b9,  26,  10, 4de, d42,57f4,dc58
[,  15,   2,   4,1c05,dfdb,aee6,  24,  12, 4df,cec1,430a,9df0
], 50022,   8,fffd,fffd,800f,b128,61fb,  25,  14, 4e3,75ca,b01f,7dba, 70b
[,fff9,   5,fff3,4088,f3ea,2942,  25,  12, 4e7,873e,711b,35e7
[,   2,fff9,fff7,b712,8c89,ea54,  23,  13, 4e3,1b75,8bd0, e7d
[,  10,   4,   9,cf05,cc5f,cbf0,  23,  10, 4de,6cd4,c271,55a4
[,   d,ffe7,ffeb,de1f,9421,a1cc,  25,  15, 4d4,e324,49d1,e359
[,   6,   6,ffff,3208,fdac,c324,  29,  12, 4d7, 1df,5111,86a7
[,   5,   1,fffb,24c4,a9a6,a489,  29,  15, 4d6,d59f,da4a,40de
[,   a,fff1,   1,f585,fc29,8d5e,  28,  13, 4de,f427,20d7,930d
[,   5,   9,fffa,5e41,c825,41f6,  29,  15, 4e1,6ebd,10f3,cbee
[,   3,fff4,fffb,1300,939a,fe78,  27,  12, 4db,eb0e,f230,2517
], 50024,   9,fffa,   1,84c2,7281,effc,  28,  15, 4d9, 3a5,499f,cccb, 70c
[,  16,fff7,   2,56eb,def3,50a0,  23,  15, 4d6,9a91,adc2,95d0
[,  15,fff8,   7,b871,1a08,67cb,  25,  15, 4d9,67b2,ec39,7755
[,   7,fffe,   5,123a,f80b,f26c,  26,  14, 4d6,8bb3,d685,  9e
[,   a,fffc,fff5, 5cf,fec3,111a,  24,  13, 4dd,9b25,918c,8091
[,fff6,fffa,fffd,f1a7,8504,2b84,  22,  13, 4d9,d51e,b94a,9fed
[,fffe,fffb,   1,77c4,65b7,7c4b,  20,  13, 4dc,5bf7,8b3e,c82c
[,   4,fff5,   a,642a,93fb,61a9,  21,  15, 4da,d937,3f87,b252
[,  11,   b,fff3,cf82,d998,b229,  20,  10, 4da,5249,602a,f646
[,  10,ffff,fff9,38c2,8eda,ed4b,  1f,  10, 4df,bd3a,2d03,303a
], 49952,fffb,   7,fff3,c31e,e1ca,1578,  20,   c, 4e0,14e7,7a15,614b, 70b
[,   8,fffb,fff7,a390,3301,c649,  1d,  10, 4e0,67d5,d2a2,b0b9
[,   a,   1,fffb, c13, d6d,d73d,  1b,  11, 4de,894a,5435,56ee
[,   c,fff4,fffa,ba0d,9824,101e,  21,   e, 4df,a550,f821,a403
[,   a,ffff,fffe,5937, d20,9a35,  22,  11, 4de,cdbe,6f2d,74c8
[,   6,fffe,fffa,4e59,4373,d119,  26,  15, 4dc,6bb9,3053,8b3e
[,   4,   e,fffe,a9c2,9c04,ed11,  25,  18, 4d9,c61a,1dc8,2a7e
[,ffff,   5,   5,3ad5,77d1,4f71,  25,  13, 4de,e02b,76ee,1b00
[,  12,fffd,fff0,c0b0, b53,a96e,  23,  17, 4d7,7ab9,17ce,b7bd
[,   5,   b,fff4,1878, 626,79db,  29,  14, 4d8,713d,25aa,4f7c
], 50024,   9,fffc,fff2,cca5,e48c,4381,  26,  18, 4da,a01e,9f8c,c251, 70c
[,   a,   2,   d, b07,e9ce,8e63,  2c,  16, 4de,b42f, 782,9d81
[,   4,fff8,ffff,edab,310a,2473,  2d,  11, 4ce,dbcb,b462,bc6f
[,   d,   8,fffc,ef24,c46b,c9cc,  21,   e, 4d3,b967,1063,f470
[,  17,fffc,fff6,828e,b0d3,a077,  28,   7, 4e2,87a8,5a6a,c1aa
[,   9,fff5,   3,e7a1,d1ea,4f3e,  24,  12, 4e5, f4e,39fc,cb76
[,  10,fff5,   4,5ccc, 6a7,4cd8,  2c,  14, 4e3,b15a,636d,f608
[,ffff,fff5,fffb,706b,4458,183d,  28,  11, 4e0,ba6f,12e9,2912
[,   8,fffc,   6,88d2,adb3,684c,  28,  16, 4cf,97b1,2705, 5b9
[,   b,fff5,fffd,8d21,54c9,8b11,  29,  16, 4db,45c9,8f63,5fbe
], 49977,   1,   4,fff8,9e9b,a2c9,e872,  28,  16, 4d6,605a,eada,2ff3, 70d
[,   e,   0,fff9,19a4,65e2,3988,  24,  12, 4d7,d0df,5071,c95d
[,   5,fff6,fff6,e1da,ee3f,6455,  24,  13, 4e2,8b5e,fa90,41f0
